"Broker Name","Broker Logo URL","Review Year","Overall Rating (numeric)","Badge/Highlight","Full list of Pros","Full list of Cons","Key Facts/Summary Table","Trading fee breakdown","Non-trading fee breakdown","Commission details","Minimum deposit","Base currencies supported","Available account types","Desktop platform features","Mobile app features","Regulatory bodies","Investor protection details","Supported deposit/withdrawal methods","Deposit/withdrawal fees (if any)","Asset classes offered","Instruments available","Embedded charts/tables CSV data","Review Page URL"
"XTB","","2025",4.7,"One of the biggest and most established CFD brokers. Regulated and trusted. Tested via live trading.","Great selection of CFDs on stocks, ETFs, forex, commodities and indices;Free and fast account opening;Wide range of funding methods;Interest paid on cash;Free stocks/ETFs up to €100k monthly volume;Most bank transfer withdrawals are free;Interest on uninvested funds (at XTB UK);Listed on stock exchange;Negative balance protection;Regulated by top-tier FCA;Credit/Debit card available;Deposits/withdrawals are mostly free;E-wallets available;Fast account opening;Fully digital account opening;No minimum deposit;User-friendly mobile app;Price alerts in mobile app;Modern design (mobile app);User-friendly desktop platform;Good customizability (charts, workspace);Good search function (desktop)","Inactivity fee charged;High conversion fee;Few minor account currencies accepted;Does not hold a banking license;Only one account type by default (Standard);Cannot change default leverage level;Popular asset classes such as options not available","Minimum deposit: $0 (individual), £15,000 (corporate); Stock fee: Low; Index CFD fee: Low; Withdrawal fee: $0 (above threshold); Account opening: 1 day; Account types: Standard account (default); Swap-free/Islamic account (outside Europe); Flexible stocks & shares ISA account (UK only); Corporate account; Regulation: Financial Conduct Authority (FCA, UK); Cyprus Securities and Exchange Commission (CySEC); Polish Financial Supervision Authority (KNF); Dubai Financial Services Authority (DFSA); International Financial Services Commission of Belize (IFSC); Leverage: Preset, cannot be changed manually; varies by product and jurisdiction; Base currencies supported: EUR; USD; GBP; HUF; PLN; Deposit methods: Bank transfer; Credit/debit card; Electronic wallets (Paysafe, Skrill, ecommpay, PayU, PayPal); Withdrawal methods: Bank transfer; Deposit fees: No deposit fees for bank transfer; credit/debit card and e-wallet deposits may incur 1-2% fee depending on country; Withdrawal fees: $0 above threshold ($50-$200 depending on country); below threshold: $20 (<$100), €16 (<€80), £12 (<£60), HUF 3,000 (<HUF 12,000); Inactivity fee: €10/month after one year of inactivity; Interest on uninvested funds: GBP: 4.5%; EUR: 1.0%; USD: 2.0%","US stock commission: $0.0 (up to €100,000 monthly volume); EUR/USD spread: 0.6 (no commission); S&P 500 index CFD spread: $0.08 (all fees built into spread); Stock CFD spread example: Apple CFD: $2.3; Vodafone CFD: $3.9","Inactivity fee: €10/month after one year of inactivity; Withdrawal fee: $0 above threshold; below threshold: $20 (<$100), €16 (<€80), £12 (<£60), HUF 3,000 (<HUF 12,000); Deposit fee: No fee for bank transfer; up to 2% for credit/debit card or e-wallet depending on country","Stocks/ETFs: $0 commission up to €100,000 monthly volume for eligible clients (UK/EU, not Cyprus entity); Forex CFDs: No separate commission, fees built into spread; Index CFDs: No separate commission, fees built into spread; Stock CFDs: Fees built into spread","$0 (individual accounts); £15,000 (corporate accounts)","EUR;USD;GBP;HUF;PLN","Standard account (default);Swap-free/Islamic account (outside Europe);Flexible stocks & shares ISA account (UK only);Corporate account","User-friendly interface;Good customizability (charts, workspace);Good search function;Same functionality and design as web platform","User-friendly design;Modern look and feel;Available in multiple languages (including English, Polish, Czech, German, Spanish, French, Hungarian, Italian, Portuguese, Romanian, Russian, Slovenian, Turkish, Chinese, Arabic, Vietnamese, Thai);Two-step login and biometric authentication;Good search function;Order types: Market, Limit/Stop, Stop-loss/Take-profit, Trailing stop;Order time limits: GTT, GTC;Price alerts and notifications","Financial Conduct Authority (FCA, UK);Cyprus Securities and Exchange Commission (CySEC);Polish Financial Supervision Authority (KNF);Dubai Financial Services Authority (DFSA);International Financial Services Commission of Belize (IFSC)","United Kingdom: £85,000 (FCA) XTB Limited (UK); Cyprus and Hungary: €20,000 (CySEC) XTB Limited (CY); Other EU clients: €20,100* (*100% up to €3,000, 90% up to €22,000) (KNF) X-Trade Brokers Dom Maklerski SA; United Arab Emirates: No protection (DFSA) XTB MENA Limited; Other countries: No protection (IFSC) XTB International Limited","Deposit methods: Bank transfer; Credit/debit card; Electronic wallets (Paysafe, Skrill, ecommpay, PayU, PayPal); Withdrawal methods: Bank transfer","Deposit fees: No fee for bank transfer deposits; Credit/debit card and e-wallet deposits may incur a fee up to 2% depending on country; Withdrawal fees: $0 if above threshold ($50-$200 depending on country); $20 (<$100), €16 (<€80), £12 (<£60), HUF 3,000 (<HUF 12,000) if below threshold","CFDs on shares/stocks;CFDs on indices;CFDs on ETFs;CFDs on commodities;CFDs on forex currencies;CFDs on cryptocurrencies;Real shares/stocks (UK and select EU clients only);Real ETFs (UK and select EU clients only)","Currency pairs (CFDs): 70; Stock index CFDs: 33; Stock CFDs: 2022; ETF CFDs: 167; Commodity CFDs: 27; Cryptos (CFDs): 40; Stock markets (real stocks): 17","US stock commission comparison: Broker,US stock|XTB,$0.0|eToro,$1.0|Capital.com,-;EURUSD spread comparison: Broker,EURUSD spread,FX commission per lot|XTB,0.6,No commission is charged|eToro,1.0,No commission is charged|Capital.com,0.6,No commission is charged;S&P 500 index CFD fee comparison: Broker,S&P 500 CFD fee (spread & commission)|XTB,$0.08|eToro,$0.15|Capital.com,$0.08;Inactivity/withdrawal fee comparison: Broker,Inactivity fee,Withdrawal fee|XTB,, $0|eToro,, $5|Capital.com,, $0;Misc. stock CFD fees comparison: Broker,Apple CFD,Vodafone CFD|XTB,$2.3,$3.9|eToro,$3.0,-|Capital.com,$0.6,$0.1;Base currencies comparison: Broker,Number of base currencies|XTB,5|eToro,3|Capital.com,14;Deposit options comparison: Broker,Bank transfer,Credit/debit card|XTB,,|eToro,,|Capital.com,,;Withdrawal fees for small withdrawals: Thresholds for small withdrawals,Withdrawal fee|< $100,$20|< €80,€16|< £60,£12|< HUF 12,000,HUF 3,000;Product selection comparison: ,XTB,eToro,Capital.com|Currency pairs (#),70,55,127|Stock index CFDs (#),33,18,44|Stock CFDs (#),2022,2000,5158|ETF CFDs (#),167,264,180|Commodity CFDs (#),27,34,90|Bond CFDs (#),-,-,-|Cryptos (#),40,130,523;Stock markets (real stocks) comparison: Broker,Stock markets (#)|XTB,17|eToro,20|Capital.com,-;Investor protection table: Client country,Investor protection amount,Regulator,Legal entity|United Kingdom,£85,000,FCA,XTB Limited (UK)|Cyprus and Hungary,€20,000,CySEC,XTB Limited (CY)|Other EU clients,€20,100*,KNF,X-Trade Brokers Dom Maklerski SA|United Arab Emirates,No protection,DFSA,XTB MENA Limited|Other countries,No protection,IFSC,XTB International Limited","https://brokerchooser.com/broker-reviews/xtb-review"


"ActivTrades","","2025","4.2","UK CFD and forex broker with low trading fees","Low trading fees;Excellent account opening;Free deposit and withdrawal;Low stock CFD fees;Low FX fees;No withdrawal fee;Negative balance protection;Regulators include top-tier FCA;Credit/Debit card available;No deposit fee;Fast account opening;Fully digital account process;User-friendly mobile app;Two-step (safer) login on mobile and web;Good search function on platforms;User-friendly and well-designed platforms;Clear fee report on web platform","Slim product portfolio;Conversion fee;Mediocre customer support;Does not hold a banking license;Not listed on stock exchange;Financial information is not publicly available;Limited base currency selection;No price alerts on web platform","Minimum deposit: $0; FX fee: Low; Index CFD fee: Low; Withdrawal fee: $0; Account opening: 1 day; Base currencies supported: EUR;USD;GBP;CHF;SEK; Number of base currencies: 5; Account types: Individual (retail);Institutional (corporate);Islamic; Regulation: Financial Conduct Authority (FCA, UK);Comissão do Mercado de Valores Mobiliários (CMVM, Portugal);The Securities Commission of the Bahamas; Leverage: Adjustable; preset levels are high (exact ratios not specified); Investor protection: UK: £85,000, FCA, ActivTrades Plc | European countries: €25,000, CMVM, ActivTrades | Other countries: No protection, The Securities Commission of the Bahamas, ActivTrades Corp | Additional insurance: Up to £/$/€ 1 million per client from Lloyd’s of London, applies to all clients","Forex CFD fees: EUR/USD spread: 0.8, Commission per lot: No commission | Index CFD fees: S&P 500 CFD fee (spread & commission): $0.10 | Stock CFD fees: Commission per share: $0.02, Minimum commission: $1, Example (Apple CFD): $1.1","Inactivity fee: £10 per month if account is not used for over 1 year and there is a remaining balance | Currency conversion fee: 0.3% for conversion of closed P&L from an instrument with a different quote currency than the account base currency","Forex CFD: No commission, all fees built into spread | Stock CFD: $0.02 per share, $1 minimum commission","$0","EUR;USD;GBP;CHF;SEK","Individual (retail);Institutional (corporate);Islamic","Platforms available: ActivTrader (proprietary);MetaTrader 4;MetaTrader 5;TradingView; User-friendly and well-designed: true; Customizability: Average (some features fixed); Languages supported: Arabic;Bulgarian;Chinese;English;French;German;Italian;Portuguese;Russian;Spanish; Two-step login: true; Order types: Market;Limit;Stop;Trailing stop; Order time limits: Good 'til canceled (GTC);Good 'til time (GTT); Search function: true; Fee and portfolio reports: Available: true, Format: HTML only; Price alerts/notifications: Price alerts: false, Account notifications (e.g. order executed): true","Platforms available: ActivTrades mobile app;MetaTrader 4 mobile;MetaTrader 5 mobile; User-friendly and well-designed: true; Two-step login (biometric authentication): true; Good search function: true; Order types supported: Market;Limit;Stop;Trailing Stop; Order time limits: Good 'til canceled (GTC); Alerts and notifications: true","Financial Conduct Authority (FCA), UK;Comissão do Mercado de Valores Mobiliários (CMVM), Portugal;The Securities Commission of the Bahamas, Bahamas","UK clients: £85,000, FCA | European clients: €25,000, CMVM | Other countries: No protection, The Securities Commission of the Bahamas | Additional insurance for all clients: Up to £/$/€ 1 million per client from Lloyd’s of London | Negative balance protection: true","Bank transfer;Credit card;Debit card;Neteller;Skrill;AstroPay;Sofort (UK/EEA only);Paypal (UK/EEA only)","Deposit fees: Bank transfer and e-wallets: $0, Credit/debit card (UK/EEA): 0.5%, Credit/debit card (non-EEA): 1.5% | Withdrawal fees: Credit/debit cards and e-wallets: $0, Bank transfers (UK/EEA, most currencies): $0, Bank transfers (UK/EEA, USD): $12.50 per withdrawal, Bank transfers (Bahamian entity): £9 per withdrawal","Forex CFDs;Stock index CFDs;Stock CFDs;ETF CFDs;Commodity CFDs;Bond CFDs;Cryptocurrency CFDs (Bahamas/Portugal entities only)","Currency pairs (#): 49; Stock index CFDs (#): 31; Stock CFDs (#): 1000; ETF CFDs (#): 500; Commodity CFDs (#): 22; Bond CFDs (#): 6; Cryptos (#): 16","Forex CFD spreads and commissions: Broker,EURUSD spread,FX commission per lot | ActivTrades,0.8,"No commission is charged" | Admirals (Admiral Markets),0.1,$3.00 commission per lot per trade | FxPro,1.4,"No commission is charged" || Index CFD spreads and commissions: Broker,S&P 500 CFD fee (spread & commission) | ActivTrades,$0.10 | Admirals (Admiral Markets),$0.10 | FxPro,$0.12 || Stock CFD spreads and commissions (Apple CFD example): Broker,Apple CFD | ActivTrades,$1.1 | Admirals (Admiral Markets),$1.2 | FxPro,$0.7 || Inactivity, withdrawal and other fees: Broker,Inactivity fee,Withdrawal fee | ActivTrades,,$0 | Admirals (Admiral Markets),,$0 | FxPro,,$0 || Base currencies at ActivTrades vs similar brokers: Broker,# of base currencies | ActivTrades,5 | Admirals (Admiral Markets),10 | FxPro,8 || Product selection vs competitors: ,ActivTrades ActivTrades,Admirals (Admiral Markets) Admirals (Admiral Markets),FxPro FxPro | Currency pairs (#),49,80,70 | Stock index CFDs (#),31,43,19 | Stock CFDs (#),1000,3350,1832 | ETF CFDs (#),500,300,46 | Commodity CFDs (#),22,26,46 | Bond CFDs (#),6,2,- | Cryptos (#),16,28,39 || Investor protection table: Country of clients,Protection amount,Regulator,Legal entity | UK,£85,000,Financial Conduct Authority (FCA),ActivTrades Plc | European countries,€25,000,Comissão do Mercado de Valores Mobiliários (CMVM),ActivTrades | Other countries,"No protection","The Securities Commission of the Bahamas","ActivTrades Corp"","https://brokerchooser.com/broker-reviews/activtrades-review"


"CMC Markets",,"2025","4.4",,"Low forex fees;Great web and mobile platforms;Advanced research and educational tools;No withdrawal fee;Credit/Debit card available;Free withdrawal;Fully digital account opening;No minimum deposit;User-friendly mobile app;Good search function (mobile and web);Good variety of order types (mobile and web);Two-step (safer) login (web and mobile);Good customizability (for charts, workspace) on web;Modern design (web and mobile);Majority of clients belong to a top-tier financial authority;Listed on stock exchange;Negative balance protection (UK/EU clients)","High stock CFD fees;Only CFDs are available;Customer support only 24/5;High CFD fees;Does not hold a banking license;No protection for clients in Australia, New Zealand, Singapore, Middle-East;You can't change leverage levels","Minimum deposit: $0; FX fee: Low; Index CFD fee: Average; Withdrawal fee: $0; Account opening: 1-3 days; Account types: CFD account;Spread betting account (UK, Ireland only);Pro account (for professional clients); Account base currencies: GBP;EUR;USD;AUS;CAD;NOK;NZD;PLN;SEK;SGD; Regulation: FCA (UK);BaFin (Germany/EU);CIRO (Canada);ASIC (Australia);FMA (New Zealand);MAS (Singapore);DFSA (Middle-East); Leverage: Forex: 30:1 (preset, not changeable); Instruments: CFDs on forex, indices, commodities, shares, ETFs, bonds, crypto (non-UK clients)","Forex CFD fees: Spread EUR/USD: 0.6; Commission per lot: No commission is charged | Index CFD fees: S&P 500 CFD fee (spread & commission): $0.08 | Stock CFD fees: Commission: $0.02 per share with $10 minimum commission; Apple CFD example: $10.1","Account fee: $0; Deposit fee: $0; Withdrawal fee: $0; Inactivity fee: £10/month after 12 months of inactivity (unless no funds in account)","Forex CFDs: No commission, all fees in spread; Stock CFDs: $0.02 per share with $10 minimum commission","$0","GBP;EUR;USD;AUS;CAD;NOK;NZD;PLN;SEK;SGD","CFD account;Spread betting account (UK, Ireland only);Pro account (for professional clients)",,"User-friendly design: true; Good search function: true; Order types: Market;Limit;Stop;Trailing Stop-loss;Guaranteed Stop-loss; Order time limits: Good 'til canceled (GTC);Good 'til time (GTT); Alerts and notifications: true; Biometric authentication: true; Two-step login: true; Available languages: Chinese;English;French;German;Italian;Norwegian;Polish;Portuguese;Spanish;Swedish","Financial Conduct Authority (FCA, UK);Bundesanstalt für Finanzdienstleistungsaufsicht (BaFin, Germany/EU);Canadian Investment Regulatory Organization (CIRO, Canada);Australian Securities and Investments Commission (ASIC, Australia);Financial Markets Authority (FMA, New Zealand);Monetary Authority of Singapore (MAS, Singapore);Dubai Financial Services Authority (DFSA, Middle-East)","UK and countries except below: £85,000 (FCA) [CMC Markets UK plc, CMC Spreadbet plc]; EU: €20,000 (BaFin) [CMC Markets Germany GmbH]; Canada: CAD 1,000,000 (CIRO) [CMC Markets Canada Inc.]; Australia: No protection (ASIC) [CMC Markets Asia Pacific Pty Ltd]; New Zealand: No protection (FMA) [CMC Markets NZ Limited Company]; Singapore: No protection (MAS) [CMC Markets Singapore Pte Ltd]; Middle-East: No protection (DFSA) [CMC Markets Middle East Limited]","Bank transfer;Credit card;Debit card","Deposit fee: $0; Withdrawal fee: $0; International withdrawal conversion fee may apply","CFDs on forex;indices;commodities;shares;ETFs;bonds;crypto (non-UK clients)","Currency pairs (CFDs): 330; Stock index CFDs: 80; Stock CFDs: 10000; ETF CFDs: 1000; Commodity CFDs: 123; Bond CFDs: 50; Cryptos (CFDs): 21","Forex CFD spreads and commissions: Broker,EURUSD spread,FX commission per lot | CMC Markets,0.6,No commission is charged | IG,0.6,No commission is charged | XTB,0.6,No commission is charged || Index CFD fees (S&P 500): Broker,S&P 500 CFD fee (spread & commission) | CMC Markets,$0.08 | IG,$0.07 | XTB,$0.08 || Stock CFD commission (Apple CFD): Broker,Apple CFD | CMC Markets,$10.1 | IG,$10.1 | XTB,$2.3 || Inactivity and withdrawal fees: Broker,Inactivity fee,Withdrawal fee | CMC Markets,, $0 | IG,, $0 | XTB,, $0 || Base currencies supported at CMC Markets vs competitors: Broker,Number of base currencies | CMC Markets,10 | IG,6 | XTB,5 || Deposit options table: Broker,Bank transfer,Credit/debit card | CMC Markets,, | IG,, | XTB,, || Withdrawal fees and options table: Broker,Withdrawal fee,Bank transfer | CMC Markets,$0, | IG,$0, | XTB,$0, || Account types table: ,CFD account,Spread betting account | Available in,All countries where CMC Markets operates,UK, Ireland | Account base currencies,GBP, EUR, USD, AUS, CAD, NOK, NZD, PLN, SEK, SGD,GBP, EUR | Pricing,Spread plus commission for stock CFDs,Spreads only | Capital gain taxable,Yes,No | Joint account available,Yes,Yes | Corporate account available,Yes,No || Languages available on mobile platform: Chinese,English,French,German | Italian,Norwegian,Polish,Portuguese | Spanish,Swedish || Languages available on web platform: Chinese,English,French | German,Italian,Norwegian | Polish,Spanish,Swedish || Product selection vs competitors: ,CMC Markets,IG,XTB | Currency pairs (#),330,98,70 | Stock index CFDs (#),80,80,33 | Stock CFDs (#),10,000,13,000,2,022 | ETF CFDs (#),1,000,5,400,167 | Commodity CFDs (#),123,39,27 | Bond CFDs (#),50,19,- | Cryptos (#),21,17,40 || Investor protection table: Country of clients,Protection amount,Regulator,Legal entity | UK and countries except below,£85,000,Financial Conduct Authority,"CMC Markets UK plc, CMC Spreadbet plc (for spread betting accounts, available in the UK)" | EU,€20,000,Bundesanstalt für Finanzdienstleistungsaufsicht (BaFin),CMC Markets Germany GmbH | Canada,CAD 1,000,000,Canadian Investment Regulatory Organization (CIRO),CMC Markets Canada Inc. | Australia,No protection,Australian Securities and Investments Commission,CMC Markets Asia Pacific Pty Ltd | New Zealand,No protection,Financial Markets Authority,CMC Markets NZ Limited Company | Singapore,No protection,Monetary Authority of Singapore,CMC Markets Singapore Pte Ltd | Middle-East,No protection,Dubai Financial Services Authority,CMC Markets Middle East Limited",,

